Date.code,Est.code,Site,Subsite,Transect,Rep.quadrat,Field.code,Field.subcode,Rep.quadrat.num,Period.code,WP,Lat.DD,Long.DD,Time.AEST,Depth.m,Ind.ABG,Ind.TOT,Ind.BELOW,Prop.BELOW,Ind.W,Prop.Weed,Habitat,Seagrass.sp,Gear,Temp.C,Sal.ppt,DO.mg.L,DO.perc,Cond.ms.cm,pH,Turb.ntu,Author,Entered.by,Field.notes
220131,LIL,2,A,6,1,220131.LIL.2A6.1,220131.LIL.2A6,1,202201,93,-34.52323,150.863998,31/01/2022 14:00,0.5,0,0,0,NA,0,NA,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,2,220131.LIL.2A6.2,220131.LIL.2A6,2,202201,92,-34.523233,150.863997,31/01/2022 14:00,0.5,0,0,0,NA,0,NA,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,3,220131.LIL.2A6.3,220131.LIL.2A6,3,202201,91,-34.523221,150.864003,31/01/2022 13:59,0.5,1,1,0,0,1,1,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,4,220131.LIL.2A6.4,220131.LIL.2A6,4,202201,94,-34.5232,150.864007,31/01/2022 14:00,0.5,0,0,0,NA,0,NA,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,4X,220131.LIL.2A6.4X,220131.LIL.2A6,40,202201,111,-34.523178,150.864015,31/01/2022 14:13,0.5,0,0,0,NA,0,NA,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,4Y,220131.LIL.2A6.4Y,220131.LIL.2A6,41,202201,112,-34.523158,150.864023,31/01/2022 14:13,0.5,1,1,0,0,0,0,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,5,220131.LIL.2A6.5,220131.LIL.2A6,5,202201,95,-34.52318,150.863969,31/01/2022 14:01,0.5,0,1,1,1,0,0,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,5X,220131.LIL.2A6.5X,220131.LIL.2A6,50,202201,113,-34.523162,150.864033,31/01/2022 14:15,0.5,1,1,0,0,0,0,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,5Y,220131.LIL.2A6.5Y,220131.LIL.2A6,51,202201,114,-34.523148,150.86403,31/01/2022 14:15,0.5,0,0,0,NA,0,NA,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
220131,LIL,2,A,6,6,220131.LIL.2A6.6,220131.LIL.2A6,6,202201,96,-34.523169,150.863972,31/01/2022 14:01,0.5,0,0,0,NA,0,NA,BARE,,Q,25.6,34.2,6.7,101.3,52.3,8.59,1.5,CG,CG,GPS 3
